ax,ay,az,gx,gy,gz,mx,my,mz,pressure,temperature,altitude
-0.038,-0.036,0.999,0.002,-0.002,-0.000,0.087,0.453,-0.557,982.55,26.56,288.90
-0.038,-0.035,1.000,0.002,-0.002,-0.000,0.091,0.452,-0.560,982.50,26.55,289.31
-0.039,-0.036,0.998,0.002,-0.002,-0.000,0.089,0.454,-0.556,982.47,26.56,289.54
-0.039,-0.036,1.000,0.002,-0.002,0.000,0.088,0.454,-0.552,982.50,26.55,289.33
-0.039,-0.036,0.998,0.002,-0.002,0.000,0.086,0.448,-0.557,982.46,26.55,289.65
-0.039,-0.035,0.999,0.002,-0.002,-0.000,0.083,0.453,-0.565,982.48,26.55,289.49
-0.038,-0.036,1.001,0.002,-0.002,0.000,0.086,0.453,-0.563,982.49,26.56,289.42
-0.037,-0.036,1.000,0.002,-0.002,0.000,0.086,0.453,-0.563,982.50,26.55,289.31
-0.039,-0.036,0.999,0.002,-0.002,-0.000,0.087,0.453,-0.555,982.49,26.55,289.43
-0.039,-0.036,0.999,0.002,-0.002,0.000,0.088,0.453,-0.554,982.37,26.55,290.42
-0.039,-0.036,1.000,0.001,-0.002,-0.000,0.090,0.452,-0.555,982.56,26.56,288.80
-0.038,-0.035,1.000,0.002,-0.002,-0.000,0.088,0.453,-0.564,982.39,26.55,290.24
-0.037,-0.036,1.000,0.001,-0.002,-0.001,0.084,0.451,-0.554,982.47,26.55,289.53
-0.038,-0.036,1.000,0.001,-0.002,-0.000,0.087,0.453,-0.562,982.45,26.55,289.72
-0.038,-0.037,1.000,0.002,-0.002,0.000,0.087,0.453,-0.562,982.42,26.56,290.03
-0.038,-0.035,0.999,0.002,-0.002,-0.000,0.083,0.449,-0.562,982.46,26.55,289.70
-0.039,-0.036,1.000,0.002,-0.002,-0.000,0.088,0.454,-0.556,982.42,26.55,290.03
